Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
Japan,2013,Developed,83.5,56.0,2,7.55,94.43428615,80.94046121593291,229,28.2,3,99.0,1.25,96.0,0.1,4454.44746,127445.0,2.0,1.7,0.894,15.3,Alzheimer's Disease,Neurological,19.62,2.97,9.63,36-60,Other,973461,89.83,2.33,2.59,Therapy,1186,No,60.78,3478,0.86,67985,0.42,23.08,41,1,1,120,157,0,1,182,0,0.0,2,0,2,1
Canada,2012,Developing,81.6,68.0,2,8.3,9748.636237,7.0,10,65.3,2,99.0,1.78,95.0,0.1,52496.69487,3475545.0,0.5,0.5,0.907,15.9,Malaria,Genetic,15.58,8.38,1.05,36-60,Other,439549,59.99,4.17,7.48,Surgery,31066,Yes,57.13,2171,2.5,74025,0.54,75.3,58,1,0,128,216,0,0,131,1,2.2,1,3,3,0
Mexico,2013,Developing,76.6,12.0,32,5.23,150.408875,82.0,0,62.1,37,83.0,6.3,83.0,0.1,1298.86766,122535969.0,1.6,1.5,0.753,12.9,Malaria,Metabolic,19.24,0.49,4.47,36-60,Male,396673,89.34,0.85,1.27,Vaccination,18739,Yes,53.07,4549,0.16,86959,0.84,69.24,56,1,3,120,193,0,0,162,0,1.9,1,0,3,1
Japan,2014,Developed,83.5,57.0,2,0.01,88.83362243,80.94046121593291,462,28.6,3,99.0,1.23,96.0,0.1,3896.21151,127276.0,2.0,1.7,0.899,15.3,Dengue,Cardiovascular,12.88,8.03,1.74,36-60,Male,701005,84.17,2.48,8.73,Therapy,5433,No,67.54,1297,8.37,98368,0.49,55.72,56,0,0,134,409,0,0,150,1,1.9,1,2,3,0
France,2003,Developing,79.3,99.0,3,13.49,4572.441963,28.0,0,56.4,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4,Asthma,Neurological,19.74,12.56,1.14,36-60,Other,443617,76.13,3.06,2.55,Vaccination,17579,Yes,57.61,1420,9.89,17899,0.53,70.95,51,0,0,130,305,0,1,142,1,1.2,1,0,3,0
Italy,2001,Developed,79.8,75.0,2,9.69,3.1222302,95.0,0,55.7,3,96.0,8.11,93.0,0.1,24.819,569741.0,0.5,0.5,0.828,14.9,Malaria,Chronic,17.92,6.66,1.83,61+,Other,13043,74.86,2.81,8.4,Therapy,5230,No,97.02,3017,9.64,60966,0.65,61.94,64,1,0,145,212,0,0,132,0,2.0,1,2,1,0
Argentina,2009,Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,8161.36966,479947.0,1.0,0.9,0.794,16.5,Asthma,Viral,7.07,6.81,4.61,36-60,Female,292026,95.03,3.05,4.51,Therapy,27366,Yes,95.11,3752,2.59,12586,0.75,80.69,44,1,2,140,235,0,0,180,0,0.0,2,0,2,1
France,2001,Developing,79.0,13.0,3,13.89,3451.185079,28.0,0,55.2,4,98.0,9.89,97.0,0.1,22527.31775,61357431.0,0.7,0.6,0.849,15.6,COVID-19,Metabolic,5.97,14.27,6.83,36-60,Male,274746,50.65,1.49,6.42,Therapy,27305,No,93.13,933,8.81,13620,0.8,44.92,60,0,2,102,318,0,1,160,0,0.0,2,1,2,1
Australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3,Asthma,Parasitic,18.87,3.72,9.38,36-60,Female,923415,97.37,2.46,9.78,Vaccination,14382,Yes,59.99,2209,6.17,82664,0.7,73.54,48,1,2,124,255,1,1,175,0,0.0,2,2,2,1
Nigeria,2009,Developing,51.6,376.0,527,9.05,14.5676468,63.0,1272,21.6,832,66.0,4.24,63.0,4.9,197.661422,15442181.0,11.7,11.6,0.487,9.3,COVID-19,Autoimmune,14.68,12.19,2.52,61+,Other,115614,85.71,3.12,3.07,Medication,12744,Yes,93.13,842,3.82,18260,0.76,55.64,64,1,0,128,263,0,1,105,1,0.2,1,1,3,1
Saudi Arabia,2006,Developing,73.2,1.0,9,0.08,1395.454965,96.0,807,6.9,10,96.0,3.55,96.0,0.1,15334.66994,12753375.120052494,7.2,7.3,0.767,12.5,Measles,Bacterial,9.81,9.34,2.14,36-60,Other,648339,59.68,3.96,6.89,Surgery,17670,No,73.28,713,0.51,4660,0.65,40.31,45,1,1,128,308,0,0,170,0,0.0,2,0,2,1
Turkey,2010,Developing,74.2,116.0,21,1.49,32.78235828,96.0,7,61.9,25,97.0,5.61,97.0,0.1,1672.5693,72326914.0,4.9,4.7,0.715,13.0,Tuberculosis,Autoimmune,4.36,0.75,8.32,36-60,Female,92847,55.59,2.6,6.14,Therapy,38105,Yes,98.72,4067,5.12,76588,0.42,27.67,49,1,1,130,266,0,1,171,0,0.6,2,0,2,1
Indonesia,2010,Developing,68.1,187.0,138,0.08,190.5453646,83.0,18869,22.9,167,82.0,2.74,81.0,0.3,3113.48635,242524123.0,1.6,1.5,0.656,12.1,Zika,Bacterial,0.84,4.48,5.3,36-60,Female,174342,70.99,1.95,4.4,Vaccination,9688,No,52.7,175,4.01,95413,0.63,27.97,41,1,2,112,250,0,1,179,0,0.0,2,0,2,1
Indonesia,2008,Developing,67.7,189.0,149,0.07,10.26341108,82.0,15369,21.3,181,83.0,2.81,77.0,0.2,216.52766,236159276.0,1.7,1.7,0.641,11.7,Alzheimer's Disease,Neurological,11.35,4.61,4.75,36-60,Male,891177,91.87,0.59,9.18,Medication,33960,Yes,62.75,3494,7.4,86043,0.71,83.75,60,0,3,150,240,0,1,171,0,0.9,2,0,2,1
Italy,2001,Developed,79.8,75.0,2,9.69,3.1222302,95.0,0,55.7,3,96.0,8.11,93.0,0.1,24.819,569741.0,0.5,0.5,0.828,14.9,HIV/AIDS,Cardiovascular,4.15,2.38,1.31,36-60,Other,110335,58.45,3.0,0.71,Medication,38941,No,69.03,2562,2.04,20884,0.53,70.14,52,1,3,152,298,1,1,178,0,1.2,1,0,3,1
India,2013,Developing,67.6,187.0,1000,3.11,67.67230438,7.0,13822,17.5,1300,82.0,4.53,83.0,0.2,1452.195373,127856227.0,26.8,27.5,0.599,11.5,HIV/AIDS,Chronic,15.87,3.44,4.1,36-60,Female,143333,73.51,0.74,4.82,Medication,6227,Yes,89.56,1933,9.57,18783,0.67,53.49,50,0,1,120,244,0,1,162,0,1.1,2,0,2,1
Australia,2015,Developed,82.8,59.0,1,4.602860787172012,0.0,93.0,74,66.6,1,93.0,5.9381895280236,93.0,0.1,56554.3876,23789338.0,0.6,0.6,0.937,20.4,Cholera,Viral,18.0,3.08,4.88,36-60,Male,60381,53.24,4.52,0.54,Surgery,17589,No,73.03,1002,2.95,22809,0.78,22.16,39,0,2,138,220,0,1,152,0,0.0,1,0,2,1
Saudi Arabia,2005,Developing,73.1,11.0,9,0.05,1117.048134,97.0,373,6.2,10,96.0,3.42,96.0,0.1,13739.82945,12753375.120052494,7.2,7.3,0.761,12.4,Ebola,Chronic,11.77,6.8,4.3,36-60,Other,240405,51.01,4.21,9.73,Therapy,25625,No,82.54,848,6.3,11047,0.47,76.58,39,0,2,94,199,0,1,179,0,0.0,2,0,2,1
Turkey,2002,Developing,71.2,138.0,38,1.47,35.55729,72.0,7823,55.1,46,78.0,5.36,78.0,0.1,366.57,6514354.0,5.2,5.0,0.658,11.5,Parkinson's Disease,Parasitic,3.82,10.99,9.85,61+,Male,677437,99.38,3.94,9.19,Therapy,14572,Yes,69.23,1951,6.55,96580,0.63,55.89,62,1,2,130,231,0,1,146,0,1.8,1,3,3,1
Italy,2004,Developed,89.0,66.0,2,8.98,4270.914882,96.0,599,57.6,3,97.0,8.49,94.0,0.1,31174.56118,57685327.0,0.5,0.5,0.846,15.6,Cholera,Metabolic,3.0,1.25,1.71,36-60,Male,470805,62.88,4.01,5.92,Medication,6347,No,80.74,3130,8.35,38470,0.45,39.82,40,1,0,110,167,0,0,114,1,2.0,1,0,3,0
Canada,2003,Developing,79.7,78.0,2,7.7,4687.845565,14.0,15,6.0,2,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5,0.4,0.877,15.8,Cholera,Bacterial,7.23,4.78,4.37,61+,Female,202901,68.4,2.86,8.52,Vaccination,40815,Yes,94.0,929,8.77,21554,0.54,50.43,61,1,0,148,203,0,1,161,0,0.0,2,1,3,0
Turkey,2004,Developing,72.0,132.0,33,1.35,1.132766775,77.0,8927,56.8,39,85.0,5.37,85.0,0.1,64.72953,677855.0,5.1,4.9,0.675,12.0,Polio,Respiratory,14.63,2.07,5.96,36-60,Female,620468,55.96,0.94,6.93,Medication,25805,Yes,68.76,1269,6.1,85433,0.44,33.42,41,1,1,110,235,0,1,153,0,0.0,2,0,2,1
Australia,2010,Developed,81.9,64.0,1,10.52,8875.786493,92.0,70,63.9,1,92.0,9.2,92.0,0.1,51874.848,223175.0,0.7,0.6,0.927,19.5,Leprosy,Respiratory,9.8,13.45,8.49,36-60,Female,41626,93.3,3.36,6.01,Therapy,34730,No,78.88,2767,7.85,47224,0.6,61.8,57,1,2,128,229,0,0,150,0,0.4,1,1,3,0
Brazil,2014,Developing,74.8,144.0,44,7.32,83.16465362,96.0,876,55.3,49,96.0,8.32,93.0,0.1,1226.61731,24213133.0,2.7,2.7,0.747,15.2,Rabies,Infectious,5.72,2.99,5.83,36-60,Female,229867,65.51,2.5,6.83,Therapy,23063,No,84.42,791,4.57,3848,0.65,49.59,59,1,3,134,204,0,1,162,0,0.8,2,2,2,0
India,2006,Developing,64.8,28.0,1500,1.37,34.85942671,6.0,64185,13.9,2000,66.0,4.25,65.0,0.3,792.259698,1161977719.0,27.1,28.0,0.536,9.7,Rabies,Respiratory,14.52,11.96,9.36,61+,Male,304445,58.91,2.27,5.74,Medication,27334,Yes,61.8,1793,2.38,10517,0.67,57.29,61,0,0,145,307,0,0,146,1,1.0,1,0,3,0
Brazil,2009,Developing,73.6,157.0,57,7.33,564.5233902,99.0,0,51.1,64,99.0,8.65,99.0,0.1,8553.3847,194895996.0,3.0,2.9,0.714,13.8,HIV/AIDS,Metabolic,5.98,4.88,2.0,36-60,Other,915181,61.78,1.54,4.47,Vaccination,7404,No,72.07,1,2.7,33277,0.85,68.72,59,1,3,170,288,0,0,159,0,0.2,1,0,3,0
Nigeria,2015,Developing,54.5,344.0,483,4.602860787172012,0.0,49.0,12423,25.4,747,49.0,5.9381895280236,49.0,3.7,2655.157977,181181744.0,9.8,9.7,0.525,10.0,Influenza,Autoimmune,15.36,3.82,7.82,36-60,Other,167339,98.99,2.52,8.64,Surgery,24856,Yes,68.8,991,9.69,45034,0.54,85.96,45,1,0,104,208,0,0,148,1,3.0,1,0,2,1
Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,80.94046121593291,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6,Malaria,Cardiovascular,1.56,7.37,8.17,61+,Female,959038,82.65,1.12,1.58,Surgery,12307,Yes,89.35,2127,1.84,73968,0.67,82.94,62,0,0,124,209,0,1,163,0,0.0,2,0,2,1
Saudi Arabia,2014,Developing,74.4,88.0,7,0.09,2017.643131,98.0,154,67.3,9,98.0,4.68,98.0,0.1,24575.434,12753375.120052494,7.7,7.5,0.841,15.8,Measles,Autoimmune,11.34,7.57,9.87,36-60,Female,609992,63.93,4.35,9.89,Surgery,9459,Yes,80.95,397,6.64,22957,0.85,37.11,43,0,2,122,213,0,1,165,0,0.2,1,0,2,1
Mexico,2001,Developing,75.0,126.0,52,4.86,13.31109532,97.0,3,53.2,62,97.0,5.35,97.0,0.1,731.378864,136768.0,1.9,1.9,0.7,11.6,Cholera,Infectious,12.96,3.16,0.6,36-60,Female,642744,84.82,2.41,4.55,Vaccination,33001,No,65.47,4054,9.37,5304,0.72,35.54,59,1,0,138,271,0,0,182,0,0.0,2,0,2,1
France,2001,Developing,79.0,13.0,3,13.89,3451.185079,28.0,0,55.2,4,98.0,9.89,97.0,0.1,22527.31775,61357431.0,0.7,0.6,0.849,15.6,Influenza,Parasitic,4.65,3.38,8.38,36-60,Other,156342,65.19,2.25,5.13,Medication,23982,No,91.72,3839,8.96,36704,0.77,28.09,57,1,1,154,232,0,0,164,0,0.0,2,1,2,0
Mexico,2007,Developing,76.0,123.0,38,5.35,105.7476131,98.0,0,57.9,45,98.0,5.92,98.0,0.1,933.341687,111836346.0,1.7,1.7,0.731,12.3,Influenza,Viral,19.16,8.91,9.69,36-60,Other,245624,79.14,0.55,6.55,Surgery,30211,Yes,57.3,2036,8.12,42334,0.55,50.58,56,1,1,120,236,0,1,178,0,0.8,2,0,2,1
Canada,2008,Developing,87.0,74.0,2,8.3,8433.936814,28.0,62,63.0,2,89.0,1.3,92.0,0.1,46596.33599,33245773.0,0.5,0.4,0.897,15.8,Rabies,Respiratory,2.35,8.17,4.91,61+,Male,938888,75.35,0.52,5.74,Vaccination,6309,Yes,53.03,679,6.54,44113,0.85,60.43,66,1,0,112,212,0,0,132,1,0.1,2,1,2,0
South Africa,2004,Developing,53.7,497.0,55,6.96,622.043809,76.0,830,42.9,83,73.0,7.93,74.0,29.7,4863.51688,4717.99,12.6,15.0,0.611,12.9,Influenza,Infectious,11.76,10.24,4.44,36-60,Other,406894,90.22,0.6,8.12,Medication,13704,Yes,93.41,3937,3.11,45890,0.89,83.19,45,0,1,130,234,0,0,175,0,0.6,1,0,2,1
Japan,2000,Developed,81.1,74.0,4,7.97,5926.296654,80.94046121593291,22497,22.2,5,98.0,7.53,85.0,0.1,38532.488,126843.0,1.6,1.4,0.852,14.5,Malaria,Viral,7.95,3.67,2.02,36-60,Female,763421,78.33,3.47,8.32,Medication,19642,Yes,74.97,886,2.75,48044,0.61,36.16,55,0,0,128,205,0,2,130,1,2.0,1,1,3,0
Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,80.94046121593291,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6,Diabetes,Metabolic,19.74,8.88,1.67,36-60,Male,571296,62.52,4.61,3.17,Therapy,3582,Yes,92.82,4836,5.13,39803,0.78,63.47,41,1,2,130,214,0,0,168,0,2.0,1,0,2,1
South Africa,2004,Developing,53.7,497.0,55,6.96,622.043809,76.0,830,42.9,83,73.0,7.93,74.0,29.7,4863.51688,4717.99,12.6,15.0,0.611,12.9,Ebola,Viral,15.05,1.14,9.99,36-60,Male,666277,72.83,1.04,8.91,Medication,48764,Yes,62.7,1117,8.77,48533,0.84,87.28,51,1,2,94,227,0,1,154,1,0.0,2,1,3,1
Australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3,Cancer,Chronic,9.04,11.63,4.7,36-60,Other,903561,66.75,0.64,8.76,Medication,24965,Yes,79.74,3036,1.67,78888,0.65,74.28,57,1,0,110,335,0,1,143,1,3.0,1,1,3,0
France,2014,Developing,82.2,79.0,3,11.5,6739.677606,83.0,267,62.0,3,98.0,11.54,98.0,0.1,42955.24287,66331957.0,0.6,0.6,0.89,16.2,Ebola,Neurological,17.55,6.02,7.12,36-60,Male,786284,73.29,1.39,8.06,Therapy,27663,Yes,62.76,4042,0.86,86316,0.73,67.9,57,0,1,130,236,0,0,174,0,0.0,1,1,2,0
Germany,2009,Developed,80.0,79.0,2,11.22,7641.270645,88.0,574,59.5,3,95.0,11.4,96.0,0.1,41732.7725,819237.0,1.1,1.1,0.906,16.7,Diabetes,Viral,5.15,11.02,5.23,61+,Female,923184,55.2,0.77,4.41,Vaccination,14804,No,60.18,3915,1.52,63512,0.56,56.38,66,1,0,120,302,0,0,151,0,0.4,1,0,2,1
Mexico,2014,Developing,76.6,122.0,31,5.26,168.173753,84.0,3,62.8,36,87.0,6.3,87.0,0.1,1452.27766,1242216.0,1.6,1.5,0.754,13.1,Measles,Chronic,4.12,13.84,7.6,36-60,Male,461352,84.61,4.49,6.97,Surgery,49921,No,66.04,2926,8.26,20118,0.49,89.52,57,1,2,150,168,0,1,174,0,1.6,2,0,2,1
China,2008,Developing,74.5,97.0,266,4.27,39.22509728,95.0,131441,26.5,308,99.0,4.59,97.0,0.1,3471.247547,1324655.0,4.5,4.0,0.672,11.9,Malaria,Cardiovascular,18.19,0.56,1.26,36-60,Male,83649,69.72,4.59,2.03,Medication,42208,No,59.41,1589,2.21,87632,0.81,82.2,51,0,2,140,308,0,0,142,0,1.5,2,1,2,1
Italy,2011,Developed,82.0,6.0,2,6.98,5439.691769,96.0,5189,61.5,2,96.0,9.27,96.0,0.1,38334.68477,59379449.0,0.5,0.5,0.872,16.4,COVID-19,Infectious,19.98,10.08,3.41,61+,Female,27603,54.96,4.36,6.31,Therapy,19293,Yes,86.0,4135,6.44,95549,0.81,42.34,61,1,0,140,207,0,0,138,1,1.9,2,1,3,0
Nigeria,2005,Developing,49.2,4.0,556,9.71,6.416252787,18.0,110927,19.3,893,45.0,4.11,36.0,5.4,87.8938738,138939478.0,12.9,12.9,0.463,8.9,Malaria,Metabolic,8.63,4.98,8.48,36-60,Male,316401,86.26,4.3,6.44,Medication,8535,No,94.58,1990,9.12,83609,0.9,30.4,51,1,2,125,245,1,0,166,0,2.4,1,0,2,1
Nigeria,2004,Developing,48.5,47.0,563,9.76,57.22555815,80.94046121593291,31521,18.8,907,43.0,4.33,33.0,5.4,648.815852,135393616.0,13.2,13.2,0.445,8.5,Measles,Bacterial,8.33,4.91,9.28,36-60,Female,982018,72.71,1.55,3.4,Therapy,39426,Yes,81.51,4364,0.78,94414,0.44,48.53,59,1,0,140,177,0,1,162,1,0.0,2,1,3,0
Indonesia,2007,Developing,67.5,19.0,154,0.06,102.633435,76.0,19456,2.5,188,77.0,3.1,73.0,0.2,1855.93915,232989141.0,1.8,1.7,0.638,11.0,Diabetes,Neurological,2.97,1.18,8.72,61+,Other,713692,65.71,3.96,6.65,Surgery,36115,No,65.66,3647,0.13,39640,0.8,64.63,74,0,1,120,269,0,0,121,1,0.2,2,1,2,1
Turkey,2000,Developing,74.0,143.0,44,1.54,421.2956602,71.0,16244,53.5,54,85.0,4.95,85.0,0.1,4316.553895,6324121.0,5.3,5.2,0.641,10.7,Dengue,Bacterial,18.32,11.54,1.38,36-60,Male,756193,50.16,0.82,4.67,Vaccination,2079,Yes,91.1,4820,8.5,54111,0.52,65.43,58,0,1,136,319,1,0,152,0,0.0,2,2,2,0
Italy,2009,Developed,81.6,61.0,2,7.25,5243.316638,96.0,351,6.5,2,96.0,9.41,96.0,0.1,36976.84512,5995365.0,0.5,0.5,0.868,16.3,Polio,Chronic,9.68,8.2,3.9,36-60,Other,945969,77.19,3.27,6.34,Therapy,19479,No,64.98,2625,7.67,77271,0.62,71.93,54,1,1,108,309,0,1,156,0,0.0,2,0,3,1
Nigeria,2002,Developing,47.7,49.0,571,9.61,17.137754,80.94046121593291,42007,17.8,928,4.0,2.43,25.0,5.3,459.4572117,12866671.0,13.8,13.8,0.0,7.7,COVID-19,Parasitic,13.2,6.15,5.13,61+,Female,925810,82.67,3.64,0.7,Vaccination,6067,No,54.44,2998,7.79,64470,0.47,84.54,64,1,2,125,309,0,1,131,1,1.8,1,0,3,0
South Africa,2002,Developing,54.9,459.0,54,7.04,346.5316007,72.0,1043,41.6,79,7.0,8.9,7.0,26.6,2518.398261,45855482.88,14.5,17.1,0.62,12.9,Hypertension,Autoimmune,19.22,12.02,3.68,36-60,Other,500093,77.54,3.02,6.36,Vaccination,28705,No,66.13,4425,5.44,28717,0.49,81.12,58,1,0,150,270,0,0,111,1,0.8,2,0,3,0
India,2001,Developing,62.9,222.0,1800,1.0,19.00340606,80.94046121593291,51780,11.8,2400,58.0,4.5,59.0,0.3,447.138966,171477855.0,27.5,28.5,0.494,8.3,Rabies,Infectious,18.5,7.94,2.05,19-35,Female,860688,97.61,3.54,4.78,Medication,30204,Yes,55.81,1250,5.47,52803,0.46,78.59,34,0,1,118,210,0,1,192,0,0.7,2,0,2,1
France,2012,Developing,81.5,83.0,3,11.5,751.3793553,78.0,0,61.1,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,0.6,0.885,16.1,Parkinson's Disease,Cardiovascular,10.75,5.79,1.66,36-60,Male,422546,75.16,3.34,8.24,Therapy,15978,Yes,69.6,4469,8.08,50074,0.6,68.77,41,0,1,126,306,0,1,163,0,0.0,2,0,2,1
Saudi Arabia,2013,Developing,74.3,89.0,8,0.09,2047.113102,98.0,1164,66.4,9,98.0,4.25,98.0,0.1,24934.38614,12753375.120052494,7.6,7.5,0.83,15.2,Polio,Neurological,9.04,4.76,3.46,61+,Female,146712,74.64,2.45,9.11,Medication,2978,No,51.23,4502,5.42,95153,0.53,27.82,65,1,0,120,177,0,1,140,0,0.4,2,0,3,1
South Africa,2004,Developing,53.7,497.0,55,6.96,622.043809,76.0,830,42.9,83,73.0,7.93,74.0,29.7,4863.51688,4717.99,12.6,15.0,0.611,12.9,Dengue,Parasitic,13.52,8.99,6.01,36-60,Male,25200,89.28,0.57,8.45,Therapy,27091,Yes,52.19,1495,8.18,54650,0.75,42.15,56,1,0,125,249,1,0,144,1,1.2,1,1,2,0
China,2009,Developing,74.9,93.0,248,4.88,50.28348923,99.0,52461,27.3,288,99.0,5.8,99.0,0.1,3838.434292,133126.0,4.4,3.8,0.682,12.2,Parkinson's Disease,Genetic,1.5,13.33,9.33,61+,Female,613794,94.45,3.96,4.68,Medication,36737,Yes,67.58,1871,7.09,27519,0.77,47.63,61,1,3,134,234,0,1,145,0,2.6,1,2,2,0
Germany,2006,Developed,79.6,84.0,3,11.76,6407.535954,87.0,2307,58.0,3,94.0,1.34,96.0,0.1,36447.87232,82376451.0,1.1,1.1,0.892,16.5,Hepatitis,Neurological,2.98,12.9,8.16,36-60,Female,500538,57.72,1.96,3.28,Vaccination,17740,No,53.55,193,7.79,50630,0.45,20.63,50,1,0,144,200,0,0,126,1,0.9,1,0,3,0
Argentina,2008,Developing,75.4,126.0,10,8.41,1413.73543,9.0,0,58.6,11,94.0,6.66,93.0,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3,Zika,Viral,6.83,6.36,0.66,61+,Other,450967,98.84,1.84,8.38,Therapy,34263,Yes,62.01,107,1.69,24612,0.71,69.35,71,0,2,110,265,1,0,130,0,0.0,2,1,2,1
Nigeria,2008,Developing,59.0,386.0,536,9.3,105.5910629,41.0,9960,21.0,848,6.0,4.0,53.0,5.0,1383.893354,1534739.0,12.0,11.9,0.481,9.2,Polio,Cardiovascular,12.88,7.16,4.18,36-60,Male,313679,92.23,3.34,5.46,Medication,47587,Yes,94.08,4502,5.57,69364,0.53,82.46,42,0,2,120,209,0,1,173,0,0.0,1,0,2,1
Canada,2011,Developing,81.5,68.0,2,8.2,971.9280384,7.0,803,64.7,2,87.0,1.82,87.0,0.1,5282.2176,3434278.0,0.5,0.5,0.903,15.9,Hypertension,Autoimmune,15.61,7.04,9.47,36-60,Female,596025,75.36,4.91,0.8,Therapy,43293,Yes,98.68,4837,0.12,99316,0.78,62.67,59,1,3,160,273,0,0,125,0,0.0,2,0,2,0
Turkey,2009,Developing,73.9,118.0,23,1.4,106.9482898,94.0,4,61.1,27,96.0,6.8,96.0,0.1,936.499911,71339185.0,4.9,4.8,0.709,12.5,Cholera,Autoimmune,10.01,7.73,0.63,36-60,Male,478806,97.71,0.58,0.83,Therapy,32547,Yes,94.63,1271,0.56,26054,0.76,31.26,51,1,0,140,299,0,1,173,1,1.6,2,0,3,0
Argentina,2013,Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3,Parkinson's Disease,Chronic,10.89,2.91,2.05,36-60,Other,349730,64.73,1.53,3.98,Vaccination,44075,No,81.19,3572,2.34,57160,0.4,53.69,45,0,1,130,234,0,0,175,0,0.6,1,0,2,1
Indonesia,2000,Developing,66.3,188.0,187,0.06,3.43334364,65.0,3344,15.4,237,72.0,1.98,75.0,0.1,78.92744,21154429.0,11.0,11.2,0.597,10.7,Parkinson's Disease,Metabolic,13.85,3.67,9.32,36-60,Female,278013,74.74,1.7,5.13,Surgery,9946,Yes,90.36,1544,7.97,57171,0.5,34.16,48,1,0,122,222,0,0,186,0,0.0,2,0,2,1
Australia,2012,Developed,82.3,61.0,1,10.03,11714.99858,91.0,199,65.0,1,92.0,9.36,92.0,0.1,67677.63477,22728254.0,0.6,0.6,0.93,20.1,Cholera,Parasitic,2.21,4.42,4.08,61+,Other,783661,62.49,2.04,6.29,Medication,33060,Yes,70.46,2772,3.67,73803,0.84,30.94,71,0,1,160,302,0,1,162,0,0.4,2,2,2,1
India,2013,Developing,67.6,187.0,1000,3.11,67.67230438,7.0,13822,17.5,1300,82.0,4.53,83.0,0.2,1452.195373,127856227.0,26.8,27.5,0.599,11.5,Zika,Respiratory,2.46,4.73,4.61,36-60,Other,426809,84.17,2.72,7.94,Vaccination,23409,Yes,78.31,2431,7.75,48881,0.5,59.79,52,1,2,172,199,1,1,162,0,0.5,2,0,3,1
Japan,2003,Developed,81.9,7.0,3,7.83,578.7254273,80.94046121593291,8286,23.4,5,97.0,8.0,97.0,0.1,3488.3992,127718.0,1.7,1.4,0.863,14.8,Tuberculosis,Autoimmune,3.89,1.51,3.56,36-60,Female,808100,97.73,4.35,6.48,Vaccination,37689,No,59.4,37,6.02,45282,0.69,45.5,58,1,2,132,224,0,0,173,0,3.2,2,2,3,0
France,2010,Developing,81.3,86.0,3,11.7,72.8001211,65.0,5048,6.1,3,99.0,11.2,99.0,0.1,473.34279,6527512.0,0.6,0.6,0.879,16.0,Polio,Neurological,13.09,0.23,3.05,36-60,Male,366896,98.3,3.64,5.59,Medication,20745,No,56.71,2947,8.03,18953,0.44,22.52,41,1,2,112,250,0,1,179,0,0.0,2,0,2,1
Australia,2012,Developed,82.3,61.0,1,10.03,11714.99858,91.0,199,65.0,1,92.0,9.36,92.0,0.1,67677.63477,22728254.0,0.6,0.6,0.93,20.1,Malaria,Parasitic,9.75,8.47,9.21,36-60,Female,501779,58.64,4.87,9.61,Surgery,33303,Yes,95.99,1423,4.25,678,0.74,69.95,47,1,2,108,243,0,1,152,0,0.0,2,0,2,0
Italy,2003,Developed,79.9,72.0,2,9.3,3519.258515,95.0,10982,57.0,3,97.0,8.17,96.0,0.1,27387.2258,5731323.0,0.5,0.5,0.841,15.4,Cholera,Cardiovascular,14.96,4.14,4.88,36-60,Other,436668,98.1,1.2,7.65,Vaccination,24245,Yes,96.52,1709,1.15,73038,0.43,81.68,51,0,2,140,308,0,0,142,0,1.5,2,1,2,1
South Africa,2015,Developing,62.9,328.0,42,4.602860787172012,0.0,75.0,17,51.1,52,75.0,5.9381895280236,75.0,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13.0,Polio,Autoimmune,13.92,0.99,4.68,36-60,Female,59172,78.52,4.9,2.74,Medication,21044,Yes,75.6,1709,2.92,16326,0.87,27.95,59,1,0,140,177,0,1,162,1,0.0,2,1,3,0
